index,name,min_age,max_age,region,edu,edu_limit,job
105,청년여성 일자리 및 창업지원(교육 등),18,100,경기도,제한없음,제한없음,제한없음
106,청년 취업성공 프로젝트,19,34,경기도,고졸,제한없음,미취업자
106,청년 취업성공 프로젝트,19,34,경기도,대졸,제한없음,미취업자
107,찾아가는 청년 희망 드림버스 운영,15,39,강원도,제한없음,제한없음,미취업자
108,청년인턴 사업,18,39,경기도,제한없음,제한없음,미취업자
109,국제기구 직업체험(청년인턴십) 프로그램 운영,0,100,인천광역시,대학 재학,제한없음,제한없음
109,국제기구 직업체험(청년인턴십) 프로그램 운영,0,100,인천광역시,대학 졸업예정,제한없음,제한없음
109,국제기구 직업체험(청년인턴십) 프로그램 운영,0,100,인천광역시,대졸,제한없음,제한없음
109,국제기구 직업체험(청년인턴십) 프로그램 운영,0,100,인천광역시,석·박사,제한없음,제한없음
110,"청춘디딤돌, 병역진로설계",18,100,전국,제한없음,제한없음,미취업자
111,취업률 향상 프로그램 운영지원,18,39,인천광역시,제한없음,제한없음,미취업자
112,2020년 지역주도형 청년 일자리 사업(1유형),19,39,광주광역시,제한없음,제한없음,미취업자
113,우수기업 청년채용지원사업,18,39,대전광역시,제한없음,제한없음,미취업자
114,청년전북 NEW-WAVE 지원사업,18,39,전라북도,대학 졸업예정,제한없음,제한없음
114,청년전북 NEW-WAVE 지원사업,18,39,전라북도,대졸,제한없음,제한없음
115,테크노파크,0,100,전국,제한없음,제한없음,제한없음
116,고용복지플러스센터,0,100,전국,제한없음,제한없음,제한없음
117,게임콘텐츠 청년일자리창출사업,18,39,대구광역시,제한없음,제한없음,제한없음
118,민간보조금 청년활동 지원사업,18,39,전라북도,제한없음,제한없음,제한없음
119,휴스타 연계(디지털·그린 뉴딜 전문인력) 채용지원사업,0,39,대구광역시,제한없음,제한없음,제한없음
120,CAP@(청년직업지도)프로그램,15,34,전국,제한없음,제한없음,미취업자
121,지역중소기업 R: 산업인턴지원,0,100,전국,대학생,제한없음,미취업자
122,공공근로 및 공공사회적 일자리사업,18,100,서울특별시,제한없음,제한없음,미취업자
123,청년 면접정장 무료대여사업,0,39,충청북도,제한없음,제한없음,제한없음
124,청년 일자리 카페 운영,18,39,울산광역시,제한없음,제한없음,제한없음
125,도시재생뉴딜 청년 인턴십 운영,18,34,부산광역시,제한없음,제한없음,제한없음
126,청년창업·청년취업 winwin 프로젝트,19,39,광주광역시,고교 졸업예정,제한없음,미취업자
126,청년창업·청년취업 winwin 프로젝트,19,39,광주광역시,고졸,제한없음,미취업자
126,청년창업·청년취업 winwin 프로젝트,19,39,광주광역시,대학 졸업예정,제한없음,미취업자
126,청년창업·청년취업 winwin 프로젝트,19,39,광주광역시,대졸,제한없음,미취업자
127,청년 1인 크리에이터 양성,0,100,경상남도,제한없음,제한없음,제한없음
128,금융교육,0,100,전국,대학 재학,제한없음,제한없음
129,청년예술가 일자리 창출 확대,0,100,서울특별시,제한없음,제한없음,제한없음
130,2021년 讀(독)한 청춘,18,34,부산광역시,제한없음,제한없음,제한없음
131,지역특화 청년특화 일자리무한도전,18,39,부산광역시,제한없음,제한없음,제한없음
132,전북형 내일채움공제,15,34,전라북도,제한없음,제한없음,재직자
133,청년 취업수당 지원,19,39,강원도,제한없음,제한없음,재직자
134,대전 일자리카페 꿈터(7개소),18,39,대전광역시,제한없음,제한없음,제한없음
135,강서구 일자리카페 운영,15,39,서울특별시,제한없음,제한없음,미취업자
136,청년학교,18,39,대구광역시,제한없음,제한없음,제한없음
137,청년취업멘토링,19,34,전국,제한없음,제한없음,제한없음
138,부산진구일자리센터 운영,18,39,부산광역시,제한없음,제한없음,제한없음
139,청년간호사 근속장려금 지원,0,100,강원도,제한없음,제한없음,재직자
140,청년과 중소기업이 상생하는 고용서비스 지원사업,19,39,인천광역시,제한없음,제한없음,미취업자
141,산하공공기관 청년인턴 채용사업,15,34,울산광역시,제한없음,제한없음,미취업자
142,4차 산업혁명 선도 인력 양성훈련,15,99,전국,제한없음,제한없음,제한없음
143,K-Move 스쿨,0,34,전국,제한없음,제한없음,미취업자
144,청년자립도전사업,18,39,부산광역시,제한없음,제한없음,제한없음
145,경남 사회적경제 청년부흥 프로젝트(직접),0,39,경상남도,제한없음,제한없음,미취업자
146,빅데이터 · AI 기반 산업 혁신인재 양성 및 고용사업,18,39,부산광역시,제한없음,제한없음,미취업자
147,청년귀농 장기교육,20,40,전국,제한없음,제한없음,제한없음
148,해외취업아카데미,0,100,전국,제한없음,제한없음,제한없음
149,2021년 하계 아르바이트 대학생 운영,19,100,인천광역시,고교 재학,제한없음,제한없음
149,2021년 하계 아르바이트 대학생 운영,19,100,인천광역시,고교 졸업예정,제한없음,제한없음
149,2021년 하계 아르바이트 대학생 운영,19,100,인천광역시,대학생,제한없음,제한없음
149,2021년 하계 아르바이트 대학생 운영,19,100,인천광역시,대학 졸업예정,제한없음,제한없음
150,글로벌 청년취업 지원,0,34,광주광역시,대학 졸업예정,제한없음,제한없음
150,글로벌 청년취업 지원,0,34,광주광역시,대졸,제한없음,제한없음
151,1사-1청년 더 채용 지원,15,39,경상북도,제한없음,제한없음,미취업자
152,청년스테이션 운영,19,34,경기도,제한없음,제한없음,제한없음
153,청년 취업 지원 프로그램 운영사업,19,39,충청남도,제한없음,제한없음,제한없음
154,일자리 call센터 운영,18,39,부산광역시,제한없음,제한없음,제한없음
155,취업특강,0,100,전국,제한없음,제한없음,제한없음
156,청주청년잡고(JOB GO) 청년일자리 지원사업,19,39,충청북도,제한없음,제한없음,미취업자
